state,report_for_period_ending,non_exempt_1st_payment,non_exempt_intrastate_matches,non_exempt_interstate_matches,exempt_1st_payment,exempt_intrastate_matches,exempt_interstate_matches,md_fy_num,md_fy_str,reemployment_rate
NH,2019-09-30,1226,770,150,1247,862,83,2019,2019-2020,0.750407830342578
NH,2019-12-31,1029,560,157,1450,725,140,2019,2019-2020,0.696793002915452
NH,2020-03-31,1378,951,129,19911,12918,367,2019,2019-2020,0.783744557329463
NH,2020-06-30,3184,2068,82,225462,142590,7186,2019,2019-2020,0.675251256281407
NH,2020-09-30,297,108,23,10653,6556,881,2020,2020-2021,0.441077441077441
NH,2020-12-31,4290,2150,310,134,87,5,2020,2020-2021,0.573426573426573
NH,2021-03-31,7287,4812,452,451,398,18,2020,2020-2021,0.7223823246878
NH,2021-06-30,6132,4212,426,481,413,20,2020,2020-2021,0.756360078277887
NH,2021-09-30,2338,1593,257,437,398,19,2021,2021-2022,0.791274593669803
NH,2021-12-31,1884,1071,214,126,91,11,2021,2021-2022,0.682059447983015
NH,2022-03-31,2270,1671,198,417,364,28,2021,2021-2022,0.823348017621145
NH,2023-03-31,2327,1596,199,486,425,20,2022,2022-2023,0.771379458530297
NH,2023-06-30,1844,1092,219,271,217,20,2022,2022-2023,0.710954446854664
NH,2023-09-30,2124,1338,203,419,367,11,2023,2023-2024,0.725517890772128
NH,2023-12-31,2157,1073,220,130,94,8,2023,2023-2024,0.599443671766342
NH,2024-03-31,3039,1978,267,131,91,17,2023,2023-2024,0.738729845343863
NH,2024-06-30,2290,1342,200,45,30,6,2023,2023-2024,0.673362445414847
NJ,2019-03-31,62215,37882,3298,14846,11627,630,2018,2018-2019,0.661898256047577
NJ,2019-06-30,39917,19662,1951,7507,5502,231,2018,2018-2019,0.541448505649222
NJ,2019-09-30,51493,31007,2660,9987,7926,298,2019,2019-2020,0.653817023673121
NJ,2019-12-31,9446,6888,1206,50462,20035,1818,2019,2019-2020,0.8568706330722
NJ,2020-03-31,11529,8344,692,137810,70202,2456,2019,2019-2020,0.78376268540203
NJ,2020-06-30,464502,236899,6974,25389,15301,849,2019,2019-2020,0.525020344368808
NJ,2020-09-30,13010,5748,824,108949,39060,4647,2020,2020-2021,0.505149884704074
NJ,2020-12-31,7571,3260,361,43472,16510,1818,2020,2020-2021,0.478272355038965
NJ,2021-03-31,8285,4535,325,55960,28859,1640,2020,2020-2021,0.586602293301147
NJ,2021-06-30,7638,4303,372,77211,37481,2742,2020,2020-2021,0.612071222833202
NJ,2021-09-30,8730,5202,402,51295,29208,1956,2021,2021-2022,0.64192439862543
NJ,2021-12-31,16287,6935,772,10801,5834,540,2021,2021-2022,0.473199484251243
NJ,2022-03-31,44047,27951,1981,14303,9882,672,2021,2021-2022,0.679546847685427
NJ,2022-06-30,33357,18095,2187,7934,5503,421,2021,2021-2022,0.608028299907066
NJ,2022-09-30,45901,26703,2615,8605,6503,333,2022,2022-2023,0.638722467920089
NJ,2022-12-31,45052,16383,2573,6824,3754,324,2022,2022-2023,0.420758234928527
NJ,2023-03-31,60941,33173,3192,11785,9062,385,2022,2022-2023,0.596724700940254
NJ,2023-06-30,42939,19723,2661,7052,5164,336,2022,2022-2023,0.521297654812641
NJ,2024-06-30,44244,18092,2574,10926,7805,557,2023,2023-2024,0.467091583039508
NM,2019-03-31,6428,3432,585,652,493,67,2018,2018-2019,0.624922215308027
NM,2019-06-30,5295,2838,231,372,268,33,2018,2018-2019,0.579603399433428
NM,2019-09-30,4593,2265,231,329,192,40,2019,2019-2020,0.543435662965382
NM,2019-12-31,5425,2239,316,610,415,39,2019,2019-2020,0.470967741935484
NM,2020-03-31,11751,5765,315,799,432,31,2019,2019-2020,0.51740277423198
NM,2020-06-30,103977,61700,2711,1499,933,66,2019,2019-2020,0.619473537416929
NM,2020-09-30,22232,9561,1040,324,169,21,2020,2020-2021,0.476835192515293
NM,2020-12-31,15970,7142,362,282,164,9,2020,2020-2021,0.469881026925485
NV,2019-03-31,11586,7039,416,3404,2842,46,2018,2018-2019,0.643448990160539
